ident,latitude,longitude
JH003,-23.40832222,-47.42925
KOGDI,-15.67133333,-48.94666667
NT396,-5.849916667,-35.02569444
TF007,-3.283008333,-64.91973611
JI031,-11.01380278,-61.99143611
NT379,-6.050277778,-35.14075
CX001,-28.9825,-51.2755
BQ023,-21.43845556,-43.61581944
IZ003,-5.683877778,-47.66930278
GP007,-21.66769444,-48.40689722
KP181,-23.11573889,-47.09078056
MAVGU,-21.45556667,-44.14974444
SIGAX,-12.96,-53.50133333
GIANT,-11.59516667,-34.36383333
AC276,-4.555163889,-37.76587778
GL025,-22.84854722,-43.20911111
REMEK,-20.633,-58.113
GM002,-11.03841111,-65.22328889
POVGA,-18.85819722,-48.44388333
KIMOS,-6.072238889,-35.11327778
SP081,-23.72803611,-46.81651944
GR227,-23.24845833,-46.31243333
AQ012,-22.04000833,-48.10166667
BUTAB,-4.127166667,-69.51
DONRO,-28.08732222,-49.34825556
GEPNA,-20.06264722,-43.90810278
ROBID,-19.99508889,-50.21928056
RIDAL,-2.986333333,-55.18333333
BUVBA,-25.59483333,-49.1015
RD002,-16.76171667,-54.72763333
REBOX,-23.40633333,-55.51466667
UMLIB,-23.78628333,-46.49726944
VT057,-20.20354444,-41.34720833
DOSMA,-17.65566667,-44.54
TCA72,-23.6374,-46.3453
GL369,-23.42194444,-43.94638889
SC018,-23.08662992,-43.83100728
BU011,-22.29686111,-49.13373889
LEMIS,-4.496691667,-48.43700833
VT086,-20.40681111,-40.45045833
ANGOV,-13.66415833,-58.28188333
ILMUR,-22.79582994,-46.59531978
SUGLU,0.599666667,-69.18383333
ATIDO,-3.241625,-54.99302778
